captured_at,arb_id,percent,event_name,sport,league,bookmakers
2026-02-20T22:36:35.839484+00:00,3bb3f28aa32292ee0fcb2d0e0b5efb88,0.99,Chivas Alamos - Centro de Formacion Cuauhtemoc Blanco,Futebol,Mexico. Liga TDP,[]
2026-02-20T22:36:35.839489+00:00,35d725b8ad320077de1f1d106f340703,0.99,Imperial - Sharks.cn ,Sport 47,Counter-Strike 2. ESL Challenger,[]
2026-02-20T22:36:35.839493+00:00,2a02cb5e51063d58ee3000d42bae4b96,0.99,Disguised - Team Liquid,Sport 48,LCS,[]
2026-02-20T22:36:38.304793+00:00,567ab347e01ddd18024f42c772c356ad,1.0,Germany (Kavviro) - England (Tikitakamaster),Sport 39,Electronic Leagues. eSports Battle,[]
2026-02-20T22:36:38.304808+00:00,9a846a22012322959e34143b9fc47bb6,1.0,Barueri Women - Fluminense Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:36:38.304814+00:00,3d93bd10bd36a033575ae103d50cfb3c,1.0,UAAARoso - Valongo,Basquete,Portugal. Taca de Portugal,[]
2026-02-20T22:36:38.304821+00:00,24f99f4837f8e8c3c5e1cdb3a6421030,1.0,Spain (Nightxx) - Argentina (Deroll),Sport 39,Electronic Leagues. eSports Battle,[]
2026-02-20T22:36:38.304827+00:00,1060ea8f4f1e507439536ba985876439,0.998,"Volhejn, Dan - Klimenta, Matous",Sport 13,Czech Republic. Czech Liga Pro. Singles,[]
2026-02-20T22:36:38.304833+00:00,f81835d8914d51e3e39fbee5c497dfeb,0.998,Georgia State Panthers - Bellarmine,Beisebol,USA. NCAA,[]
2026-02-20T22:36:38.304837+00:00,25de9b31d1fde98e1878d042ebf63d30,0.998,East Carolina Pirates - North Carolina Tar Heels,Beisebol,USA. NCAA,[]
2026-02-20T22:36:38.304845+00:00,5b81d585195642498331bca0562f3fa1,0.998,Renasce Voleibol Sorocaba Women - Tijuca TC Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:36:38.304851+00:00,991b423c32873b46d7e16d411cc84eca,0.998,"Vlasenko, Valeriy  - Kuravskyi, Oleksandr",Sport 13,World. Setka Cup. Singles,[]
