captured_at,arb_id,percent,event_name,sport,league,bookmakers
2026-02-20T22:29:44.575610+00:00,38ad3178930d5597f9a6c8932b0ce635,0.998,Wake Forest Demon Deacons - Siena Saints,Beisebol,USA. NCAA,[]
2026-02-20T22:29:44.575614+00:00,3864431362a3ce0e9a0498cdbffbb613,0.998,Tennessee Tech Golden Eagles - Ohio State Buckeyes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:44.575618+00:00,0fc6722f7c54db4f5d7720c78616efd7,0.998,Vanderbilt Commodores - Marist Red Foxes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:44.575622+00:00,4200dca9c2808178f36f83e77e6159a4,0.996,Louisville Cardinals - Nebraska Cornhuskers,Beisebol,USA. NCAA,[]
2026-02-20T22:29:44.575625+00:00,7fbad54d01c6e1d10966f67b6c74046f,0.996,Estrela Amadora - Tondela,Futebol,Portugal. Primeira Liga,[]
2026-02-20T22:29:44.575629+00:00,5fcd7df96f1ae5719c58ffc10ba669ab,0.993,"Kozlov, Stefan - Pacheco Mendez, Rodrigo",Tenis,World. ATP Challenger Metepec. Singles,[]
2026-02-20T22:29:44.575633+00:00,a725b730b1a5153c717f7c7e7aef6d18,0.99,CB Penafiel 2012 - Porto U23,Basquete,Portugal. Division 2,[]
2026-02-20T22:29:44.575637+00:00,5a2d4354b43cf0bcc4cb17724855b353,0.99,Abrantes Women - Lobos da Malveira Women,Basquete,Portugal. Nacional Liga Women,[]
2026-02-20T22:29:44.575640+00:00,a79e9120a88152e39f12e4ffba179161,0.99,Barueri Women - Fluminense Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:29:44.575644+00:00,5ae08774ec84a7f4c65d5aa1261d3674,0.988,USA - Slovakia,Hoquei no Gelo,World. Olympic Games,[]
2026-02-20T22:29:44.575648+00:00,8ea0f7b1164a5de6d64a964480461a95,0.982,"Barry, Charles/Martin, Andres - Duncan, Scott/Jones, Ben",Tenis,World. ATP Challenger Metepec. Doubles,[]
2026-02-20T22:29:44.575654+00:00,f471a43e176d154324fe504c92d6a8c8,0.982,Jaragua - Clube Atletico Piauiense PI,Futsal,Brazil. Super Cup,[]
2026-02-20T22:29:44.575658+00:00,742a318766d0919decd6e3552f1f97d4,0.98,Union La Calera - Nublense,Futebol,Chile. Primera Division,[]
2026-02-20T22:29:44.575663+00:00,2bb79bfdc1ccb95608e80d2c6eae851d,0.978,"Hanacek, Josef - Stehlik, Martin",Sport 13,World. Setka Cup. Singles,[]
2026-02-20T22:29:44.575667+00:00,b18a279dbd05c4b7e2b9457007420d0e,0.978,"Borodich, Andrey - Zademleniuk, Nikolay",Sport 13,russia. Master. Singles,[]
2026-02-20T22:29:44.575671+00:00,add988ffa2307fa817105d916069f2db,0.978,Escola SLB O Azemeis - GRI Brandoense,Basquete,Portugal. Taca de Portugal,[]
2026-02-20T22:29:44.575676+00:00,6541b2fa74d572c8f2ccb8dedb2134d7,0.976,"Benes, Radek  - Stusek, David",Sport 13,World. TTCup. Singles,[]
2026-02-20T22:29:44.575680+00:00,9cabf2e522fe82c9482e129e64c18ed1,0.976,Renasce Voleibol Sorocaba Women - Tijuca TC Women,Volei,Brazil. Superliga Women,[]
